,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
4096,0.000861221,0.000833133,0.000836746,0.000839355,0.000814217,0.000806499,0.000831607,0.000837681,0.000850184,0.000890741,0.000819178,0.000841767,0.000806817,0.000834324,0.000834701,0.000786116,0.000785474,0.000785283,0.00078208,0.000786324,0.00078777,0.00078585,0.000782147,0.000785572,0.000800817,0.000783847,0.000784029,0.000781944,0.000783822,0.000784041,0.000783912,0.000783841,0.000781936,0.000783679,0.000830986,0.000831853,0.000832543,0.000821698,0.000807492,0.000834223,0.000831206,0.000783913,0.000783922,0.000781822,0.000783642,0.0007843,0.00083126,0.000784067,0.000781937,0.000800197,0.000784275,0.000783931,0.000811212,0.000805329,0.000782034,0.000783901,0.000783794,0.000783835,0.000781848,0.000783521,0.000783713,0.000806559,0.000784198,0.000781967,0.000783907,0.000784139,0.000783808,0.000783556,0.000781884,0.000783706,0.00078365,0.000783627,0.000783857,0.000781897,0.000806575,0.000831497,0.000830888,0.000812913,0.000821795,0.000808838,0.00083073,0.000835864,0.000783966,0.000784072,0.000781981,0.000784169,0.000799696,0.000784232,0.000783798,0.000781824,0.000783623,0.000783543,0.000783756,0.000806432,0.000804691,0.000835448,0.000783851,0.000783699,0.00079968,0.000781883,
16384,0.00710796,0.00684697,0.00691699,0.00682589,0.00684122,0.00684484,0.00687688,0.00689751,0.00688897,0.00682613,0.00682614,0.00689078,0.00684226,0.00689293,0.00686647,0.00689106,0.00686524,0.00684315,0.00684063,0.00705919,0.00717792,0.00718885,0.00698352,0.0068428,0.0068233,0.00682454,0.00696571,0.0071602,0.00710605,0.0068229,0.00687038,0.0068658,0.00687119,0.00682447,0.00688089,0.00687404,0.00682541,0.00682425,0.00682247,0.00682395,0.00682434,0.00682403,0.00682384,0.00682436,0.00682476,0.006824,0.00682295,0.00682407,0.00682436,0.00682402,0.00682462,0.00684906,0.00684347,0.00682307,0.00682563,0.0068251,0.00706323,0.00705575,0.00687211,0.00682408,0.00687304,0.00682477,0.00682425,0.00682611,0.00682321,0.00690792,0.00686941,0.00696223,0.00696418,0.00682469,0.00682411,0.0068648,0.0068804,0.00686953,0.0068566,0.00687107,0.00686729,0.00682281,0.00682429,0.00682487,0.00697697,0.0068724,0.00682375,0.00682424,0.0068245,0.00708794,0.0068876,0.00687384,0.00686314,0.00682391,0.00692005,0.00682457,0.00682397,0.00682408,0.00682425,0.00699276,0.0071709,0.00696197,0.00682447,0.00682542,
65536,0.0954531,0.0793703,0.0763075,0.0758867,0.0759184,0.0758054,0.0762424,0.0759632,0.0761721,0.0760555,0.0762364,0.0759917,0.0759835,0.0760108,0.0760762,0.0761664,0.0759217,0.0759761,0.0762259,0.0760408,0.076133,0.0760849,0.0759896,0.0760075,0.0758789,0.0759227,0.0759123,0.0760634,0.0764923,0.0762303,0.0758307,0.0760037,0.0762245,0.0759035,0.075977,0.075988,0.0759849,0.0760051,0.0761469,0.0759199,0.0758477,0.0760242,0.0760281,0.0762343,0.0759112,0.0759738,0.0759106,0.0759571,0.0759325,0.0760832,0.0759914,0.0759792,0.0761867,0.0761048,0.0762143,0.0760193,0.0758793,0.0760867,0.0759155,0.0758292,0.0758992,0.0760759,0.0758258,0.0759152,0.0760565,0.0760725,0.0759195,0.0762087,0.07611,0.0760915,0.076329,0.0761573,0.0759895,0.0759812,0.0760366,0.0761096,0.0759587,0.0759191,0.0759508,0.0761649,0.0758805,0.0760369,0.0758337,0.0759829,0.075965,0.0760057,0.0759354,0.0759662,0.0758635,0.0759284,0.0759532,0.0759743,0.0760526,0.075999,0.076118,0.076059,0.0761441,0.0759166,0.0759969,0.0760612,
262144,0.749127,0.721339,0.722835,0.720471,0.720887,0.7211,0.722468,0.722341,0.721516,0.720936,0.720689,0.721999,0.722221,0.724805,0.724211,0.722696,0.723855,0.723973,0.723138,0.723329,0.723535,0.722499,0.722829,0.722423,0.723403,0.723265,0.724393,0.723525,0.72314,0.723389,0.723942,0.723523,0.722791,0.723381,0.723291,0.722962,0.723042,0.722973,0.7229,0.723246,0.727063,0.722867,0.72299,0.723065,0.722782,0.723977,0.724687,0.723237,0.724413,0.723029,0.723575,0.723941,0.723681,0.722713,0.723555,0.722669,0.723891,0.722868,0.723076,0.723007,0.723206,0.721902,0.724438,0.723645,0.725423,0.722891,0.722406,0.721864,0.721724,0.723379,0.721988,0.722145,0.722938,0.722675,0.72266,0.721711,0.719455,0.719875,0.722122,0.71968,0.719918,0.720775,0.719457,0.720954,0.721413,0.720221,0.719794,0.720539,0.720079,0.721687,0.720469,0.721445,0.723116,0.720622,0.721086,0.722706,0.720453,0.722412,0.71944,0.722005,
1048576,5.84028,5.81476,5.81288,5.81662,5.80918,5.80582,5.80388,5.80721,5.80788,5.80958,5.80561,5.80952,5.8062,5.80605,5.80598,5.80676,5.80547,5.80699,5.80662,5.80518,5.8062,5.80444,5.80257,5.80213,5.80537,5.80722,5.80708,5.8131,5.81622,5.81605,5.81155,5.81269,5.81576,5.81302,5.81853,5.80995,5.80677,5.8046,5.80483,5.8023,5.80305,5.80344,5.80063,5.804,5.80835,5.80282,5.80095,5.80331,5.80351,5.80497,5.80535,5.80171,5.80083,5.79992,5.8026,5.8024,5.80188,5.79876,5.80273,5.80071,5.80387,5.80197,5.80291,5.80458,5.80367,5.80111,5.8022,5.80319,5.80264,5.80073,5.80461,5.80236,5.80256,5.81202,5.81705,5.84299,5.84595,5.82114,5.79995,5.80583,5.80738,5.8026,5.85364,5.81322,5.80089,5.80532,5.8084,5.83956,5.87522,5.85688,5.80402,5.80032,5.80554,5.80311,5.80165,5.80421,5.80329,5.80075,5.80258,5.80322
